MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name
flights-m50,Azure,0,0,1M,1,1,stringSearch_last_name,1.2338016033172607,0,
flights-m50,Azure,0,0,10M,0,0,stringSearch_last_name,4.938788175582886,0,
flights-m50,Azure,0,0,10M,0,1,stringSearch_last_name,5.171866178512573,0,
flights-m50,Azure,0,0,10M,1,1,stringSearch_last_name,5.709386110305786,0,
flights-m50,Azure,0,0,10M,0,0,stringSearch_last_name,4.828493356704712,0,
flights-m50,Azure,0,0,10M,0,1,stringSearch_last_name,4.893977880477905,0,
flights-m50,Azure,0,0,10M,1,1,stringSearch_last_name,4.971618413925171,0,
flights-m50,Azure,0,0,10M,0,0,stringSearch_last_name,4.828449249267578,0,
flights-m50,Azure,0,0,10M,0,1,stringSearch_last_name,4.921412944793701,0,
flights-m50,Azure,0,0,10M,1,1,stringSearch_last_name,5.055542230606079,0,
flights-m50,Azure,0,0,10M,0,0,stringSearch_last_name,4.91314172744751,0,
flights-m50,Azure,0,0,10M,0,1,stringSearch_last_name,4.895781755447388,0,
flights-m50,Azure,0,0,10M,1,1,stringSearch_last_name,5.359074115753174,0,
flights-m50,Azure,0,0,10M,0,0,stringSearch_last_name,4.783658027648926,0,
flights-m50,Azure,0,0,10M,0,1,stringSearch_last_name,4.995312929153442,0,
flights-m50,Azure,0,0,10M,1,1,stringSearch_last_name,4.924724817276001,0,
flights-m50,Azure,0,0,20M,0,0,stringSearch_last_name,10.517216920852661,0,
flights-m50,Azure,0,0,20M,0,1,stringSearch_last_name,9.90703558921814,0,
flights-m50,Azure,0,0,20M,0,0,stringSearch_last_name,10.046315908432007,0,
flights-m50,Azure,0,0,20M,0,1,stringSearch_last_name,9.616413593292236,0,
flights-m50,Azure,0,0,20M,0,0,stringSearch_last_name,9.702101469039917,0,
flights-m50,Azure,0,0,20M,0,1,stringSearch_last_name,9.030320405960083,0,
flights-m50,Azure,0,0,20M,0,0,stringSearch_last_name,9.719195127487183,0,
flights-m50,Azure,0,0,20M,0,1,stringSearch_last_name,8.961882829666138,0,
flights-m50,Azure,0,0,20M,0,0,stringSearch_last_name,9.56202220916748,0,
flights-m50,Azure,0,0,20M,0,1,stringSearch_last_name,9.109843969345093,0,
flights-m50,Azure,0,0,50M,0,0,stringSearch_last_name,29.010835886001587,0,
flights-m50,Azure,0,0,50M,0,1,stringSearch_last_name,32.03249502182007,0,
flights-m50,Azure,0,0,50M,0,0,stringSearch_last_name,29.461637020111084,0,
flights-m50,Azure,0,0,50M,0,1,stringSearch_last_name,31.55232262611389,0,
flights-m50,Azure,0,0,50M,0,0,stringSearch_last_name,28.298083543777466,0,
flights-m50,Azure,0,0,50M,0,1,stringSearch_last_name,32.3291552066803,0,
flights-m50,Azure,0,0,50M,0,0,stringSearch_last_name,28.38098406791687,0,
flights-m50,Azure,0,0,50M,0,1,stringSearch_last_name,31.759042024612427,0,
flights-m50,Azure,0,0,50M,0,0,stringSearch_last_name,28.616575479507446,0,
flights-m50,Azure,0,0,50M,0,1,stringSearch_last_name,32.15226888656616,0,
flights-m50,Azure,0,0,100M,0,0,stringSearch_last_name,71.44668364524841,0,
flights-m50,Azure,0,0,100M,0,1,stringSearch_last_name,71.64336037635803,0,
flights-m50,Azure,0,0,100M,0,0,stringSearch_last_name,66.49929189682007,0,
flights-m50,Azure,0,0,100M,0,1,stringSearch_last_name,69.2554292678833,0,
flights-m50,Azure,0,0,100M,0,0,stringSearch_last_name,69.61305665969849,0,
flights-m50,Azure,0,0,100M,0,1,stringSearch_last_name,72.88274550437927,0,
flights-m50,Azure,0,0,100M,0,0,stringSearch_last_name,73.70344972610474,0,
flights-m50,Azure,0,0,100M,0,1,stringSearch_last_name,68.01435017585754,0,
flights-m50,Azure,0,0,100M,0,0,stringSearch_last_name,65.93432879447937,0,
flights-m50,Azure,0,0,100M,0,1,stringSearch_last_name,70.72952461242676,0,
flights-m80,Azure,0,0,1M,0,0,stringSearch_last_name,1.5292010307312012,0,
flights-m80,Azure,0,0,1M,0,1,stringSearch_last_name,1.5870134830474854,0,
flights-m80,Azure,0,0,1M,1,1,stringSearch_last_name,2.0517680644989014,0,
flights-m80,Azure,0,0,1M,0,0,stringSearch_last_name,1.4495820999145508,0,
flights-m80,Azure,0,0,1M,0,1,stringSearch_last_name,1.5576097965240479,0,
flights-m80,Azure,0,0,1M,1,1,stringSearch_last_name,2.0114638805389404,0,
flights-m80,Azure,0,0,1M,0,0,stringSearch_last_name,1.4920358657836914,0,
flights-m80,Azure,0,0,1M,0,1,stringSearch_last_name,1.6105525493621826,0,
flights-m80,Azure,0,0,1M,1,1,stringSearch_last_name,2.160661458969116,0,
flights-m80,Azure,0,0,1M,0,0,stringSearch_last_name,1.5182271003723145,0,
flights-m80,Azure,0,0,1M,0,1,stringSearch_last_name,1.57698655128479,0,
flights-m80,Azure,0,0,1M,1,1,stringSearch_last_name,2.0547525882720947,0,
flights-m80,Azure,0,0,1M,0,0,stringSearch_last_name,1.590449571609497,0,
flights-m80,Azure,0,0,1M,0,1,stringSearch_last_name,1.5568857192993164,0,
flights-m80,Azure,0,0,1M,1,1,stringSearch_last_name,2.0578396320343018,0,
flights-m80,Azure,0,0,10M,0,0,stringSearch_last_name,5.3842315673828125,0,
flights-m80,Azure,0,0,10M,0,1,stringSearch_last_name,5.702514886856079,0,
flights-m80,Azure,0,0,10M,1,1,stringSearch_last_name,5.944078207015991,0,
flights-m80,Azure,0,0,10M,0,0,stringSearch_last_name,5.275369644165039,0,
flights-m80,Azure,0,0,10M,0,1,stringSearch_last_name,5.635545253753662,0,
flights-m80,Azure,0,0,10M,1,1,stringSearch_last_name,6.002844333648682,0,
flights-m80,Azure,0,0,10M,0,0,stringSearch_last_name,5.272629499435425,0,
flights-m80,Azure,0,0,10M,0,1,stringSearch_last_name,5.5991504192352295,0,
