,MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name
77,flights-m50,Azure,0,0,10M,1,1,stringSearch,0.5047879219055176,0,
78,flights-m50,Azure,0,0,10M,0,0,stringSearch,11.477076053619385,0,
79,flights-m50,Azure,0,0,10M,0,1,stringSearch,5.8628926277160645,0,
80,flights-m50,Azure,0,0,10M,1,1,stringSearch,0.49077725410461426,0,
81,flights-m50,Azure,0,0,10M,0,0,stringSearch,11.514853954315186,0,
82,flights-m50,Azure,0,0,10M,0,1,stringSearch,5.687822103500366,0,
83,flights-m50,Azure,0,0,10M,1,1,stringSearch,0.4478130340576172,0,
84,flights-m50,Azure,0,0,10M,0,0,stringSearch,11.389411211013794,0,
85,flights-m50,Azure,0,0,10M,0,1,stringSearch,5.415860891342163,0,
86,flights-m50,Azure,0,0,10M,1,1,stringSearch,0.4975109100341797,0,
87,flights-m50,Azure,0,0,10M,0,0,stringSearch,11.47432017326355,0,
88,flights-m50,Azure,0,0,10M,0,1,stringSearch,5.446781396865845,0,
89,flights-m50,Azure,0,0,10M,1,1,stringSearch,0.5268073081970215,0,
90,flights-m50,Azure,0,0,20M,0,0,stringSearch,24.61075711250305,0,
91,flights-m50,Azure,0,0,20M,0,1,stringSearch,11.674972534179688,0,
92,flights-m50,Azure,0,0,20M,0,0,stringSearch,23.627596139907837,0,
93,flights-m50,Azure,0,0,20M,0,1,stringSearch,11.312334060668945,0,
94,flights-m50,Azure,0,0,20M,0,0,stringSearch,23.445063829421997,0,
95,flights-m50,Azure,0,0,20M,0,1,stringSearch,11.157014608383179,0,
96,flights-m50,Azure,0,0,20M,0,0,stringSearch,23.26524519920349,0,
97,flights-m50,Azure,0,0,20M,0,1,stringSearch,10.770800352096558,0,
98,flights-m50,Azure,0,0,20M,0,0,stringSearch,23.057652950286865,0,
99,flights-m50,Azure,0,0,20M,0,1,stringSearch,10.87507939338684,0,
100,flights-m50,Azure,0,0,50M,0,0,stringSearch,68.79956245422363,0,
101,flights-m50,Azure,0,0,50M,0,1,stringSearch,33.81445574760437,0,
102,flights-m50,Azure,0,0,50M,0,0,stringSearch,74.51201248168945,0,
103,flights-m50,Azure,0,0,50M,0,1,stringSearch,33.10412573814392,0,
104,flights-m50,Azure,0,0,50M,0,0,stringSearch,67.39193177223206,0,
105,flights-m50,Azure,0,0,50M,0,1,stringSearch,34.06389832496643,0,
106,flights-m50,Azure,0,0,50M,0,0,stringSearch,66.46981024742126,0,
107,flights-m50,Azure,0,0,50M,0,1,stringSearch,32.998024463653564,0,
108,flights-m50,Azure,0,0,50M,0,0,stringSearch,66.53683876991272,0,
109,flights-m50,Azure,0,0,50M,0,1,stringSearch,32.98415446281433,0,
110,flights-m50,Azure,0,0,100M,0,0,stringSearch,164.01847672462463,0,
111,flights-m50,Azure,0,0,100M,0,1,stringSearch,85.67175126075745,0,
112,flights-m50,Azure,0,0,100M,0,0,stringSearch,154.4660665988922,0,
113,flights-m50,Azure,0,0,100M,0,1,stringSearch,77.2200608253479,0,
114,flights-m50,Azure,0,0,100M,0,0,stringSearch,157.22959089279175,0,
115,flights-m50,Azure,0,0,100M,0,1,stringSearch,77.64926958084106,0,
116,flights-m50,Azure,0,0,100M,0,0,stringSearch,157.28005576133728,0,
117,flights-m50,Azure,0,0,100M,0,1,stringSearch,79.23566579818726,0,
118,flights-m50,Azure,0,0,100M,0,0,stringSearch,155.45804619789124,0,
119,flights-m50,Azure,0,0,100M,0,1,stringSearch,81.17076802253723,0,
120,flights-m80,Azure,0,0,1M,0,0,stringSearch,2.1270620822906494,0,
121,flights-m80,Azure,0,0,1M,0,1,stringSearch,1.1971371173858643,0,
122,flights-m80,Azure,0,0,1M,1,1,stringSearch,1.1212303638458252,0,
123,flights-m80,Azure,0,0,1M,0,0,stringSearch,1.408632755279541,0,
124,flights-m80,Azure,0,0,1M,0,1,stringSearch,1.2084786891937256,0,
125,flights-m80,Azure,0,0,1M,1,1,stringSearch,1.1603281497955322,0,
126,flights-m80,Azure,0,0,1M,0,0,stringSearch,1.551421880722046,0,
127,flights-m80,Azure,0,0,1M,0,1,stringSearch,1.2225160598754883,0,
128,flights-m80,Azure,0,0,1M,1,1,stringSearch,1.106036901473999,0,
129,flights-m80,Azure,0,0,1M,0,0,stringSearch,1.5445683002471924,0,
130,flights-m80,Azure,0,0,1M,0,1,stringSearch,1.1786203384399414,0,
131,flights-m80,Azure,0,0,1M,1,1,stringSearch,1.1490707397460938,0,
132,flights-m80,Azure,0,0,1M,0,0,stringSearch,1.5656795501708984,0,
133,flights-m80,Azure,0,0,1M,0,1,stringSearch,1.1121294498443604,0,
134,flights-m80,Azure,0,0,1M,1,1,stringSearch,1.1271896362304688,0,
135,flights-m80,Azure,0,0,10M,0,0,stringSearch,11.850200414657593,0,
136,flights-m80,Azure,0,0,10M,0,1,stringSearch,6.365541696548462,0,
137,flights-m80,Azure,0,0,10M,1,1,stringSearch,1.1409220695495605,0,
138,flights-m80,Azure,0,0,10M,0,0,stringSearch,11.86026406288147,0,
139,flights-m80,Azure,0,0,10M,0,1,stringSearch,6.3678882122039795,0,
140,flights-m80,Azure,0,0,10M,1,1,stringSearch,1.163783073425293,0,
141,flights-m80,Azure,0,0,10M,0,0,stringSearch,11.846960067749023,0,
142,flights-m80,Azure,0,0,10M,0,1,stringSearch,6.31580376625061,0,
143,flights-m80,Azure,0,0,10M,1,1,stringSearch,1.1538755893707275,0,
144,flights-m80,Azure,0,0,10M,0,0,stringSearch,11.80564832687378,0,
145,flights-m80,Azure,0,0,10M,0,1,stringSearch,6.331336975097656,0,
146,flights-m80,Azure,0,0,10M,1,1,stringSearch,1.1570320129394531,0,
147,flights-m80,Azure,0,0,10M,0,0,stringSearch,11.95064115524292,0,
148,flights-m80,Azure,0,0,10M,0,1,stringSearch,6.565014123916626,0,
149,flights-m80,Azure,0,0,10M,1,1,stringSearch,1.30023193359375,0,
150,flights-m80,Azure,0,0,20M,0,0,stringSearch,23.765831232070923,0,
151,flights-m80,Azure,0,0,20M,0,1,stringSearch,11.679429769515991,0,
152,flights-m80,Azure,0,0,20M,0,0,stringSearch,24.096518754959106,0,
153,flights-m80,Azure,0,0,20M,0,1,stringSearch,12.282784461975098,0,
154,flights-m80,Azure,0,0,20M,0,0,stringSearch,24.10539221763611,0,
155,flights-m80,Azure,0,0,20M,0,1,stringSearch,11.768972873687744,0,
156,flights-m80,Azure,0,0,20M,0,0,stringSearch,23.765464067459106,0,
157,flights-m80,Azure,0,0,20M,0,1,stringSearch,11.639965295791626,0,
158,flights-m80,Azure,0,0,20M,0,0,stringSearch,23.852152347564697,0,
159,flights-m80,Azure,0,0,20M,0,1,stringSearch,11.707792520523071,0,
160,flights-m80,Azure,0,0,50M,0,0,stringSearch,52.00896596908569,0,
161,flights-m80,Azure,0,0,50M,0,1,stringSearch,27.21892762184143,0,
162,flights-m80,Azure,0,0,50M,0,0,stringSearch,51.537041425704956,0,
163,flights-m80,Azure,0,0,50M,0,1,stringSearch,27.035627603530884,0,
164,flights-m80,Azure,0,0,50M,0,0,stringSearch,51.56344175338745,0,
165,flights-m80,Azure,0,0,50M,0,1,stringSearch,27.39209008216858,0,
166,flights-m80,Azure,0,0,50M,0,0,stringSearch,52.0803382396698,0,
167,flights-m80,Azure,0,0,50M,0,1,stringSearch,27.035419464111328,0,
168,flights-m80,Azure,0,0,50M,0,0,stringSearch,51.337759256362915,0,
169,flights-m80,Azure,0,0,50M,0,1,stringSearch,26.58574604988098,0,
170,flights-m80,Azure,0,0,100M,0,0,stringSearch,110.21943140029907,0,
171,flights-m80,Azure,0,0,100M,0,1,stringSearch,54.375224590301514,0,
172,flights-m80,Azure,0,0,100M,0,0,stringSearch,110.70747399330139,0,
173,flights-m80,Azure,0,0,100M,0,1,stringSearch,53.58845114707947,0,
174,flights-m80,Azure,0,0,100M,0,0,stringSearch,108.70597648620605,0,
175,flights-m80,Azure,0,0,100M,0,1,stringSearch,53.382543325424194,0,
176,flights-m80,Azure,0,0,100M,0,0,stringSearch,108.98161602020264,0,
177,flights-m80,Azure,0,0,100M,0,1,stringSearch,53.04324436187744,0,
178,flights-m80,Azure,0,0,100M,0,0,stringSearch,109.35266375541687,0,
179,flights-m80,Azure,0,0,100M,0,1,stringSearch,53.14964461326599,0,
