MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,Unnamed: 0,pricePerHr,pricePerS,Iops,Memory
flights-m80,Azure,128,32,50M,0,0,RowInsert,0.2289924621582031,0.0012550059106614852,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,50M,0,1,RowInsert,0.2328927516937255,0.0012763816641436678,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,100M,0,0,RowInsert,0.2076189517974853,0.001137867199712329,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,100M,0,1,RowInsert,0.2262248992919922,0.0012398381286197239,,,19.73,0.005480555555555555,1100,256
flights-m200,Azure,256,64,1M,0,0,stringSearch_firstName,2.0879175662994385,0.01905224779248238,,0.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,1,stringSearch_firstName,0.5565745830535889,0.0050787430703639995,,1.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,1,1,stringSearch_firstName,0.4318075180053711,0.003940243601799012,,2.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,0,stringSearch_firstName,2.4809374809265137,0.02263855451345444,,3.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,1,stringSearch_firstName,1.655815601348877,0.015109317362308505,,4.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,1,1,stringSearch_firstName,1.4202425479888916,0.012959713250398637,,5.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,0,stringSearch_firstName,1.9761404991149905,0.01803228205442429,,6.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,1,stringSearch_firstName,1.552290439605713,0.014164650261402132,,7.0,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,1,1,stringSearch_firstName,1.248077392578125,0.011388706207275391,,8.0,32.85,0.009125000000000001,1100,256
